q_index,reasoning,retrieval,notes,question
0,multi-hop,specialized,Oxford Migration Observatory + Organised Crime Index filters,"Consider the OECD countries whose total population was composed of at least 20% of foreign-born populations as of 2023 (according to the Observatory of Migration at the university of Oxford). Amongst them, which country saw their overall criminality score increase by at least +0.2 point between 2021 and 2023 and their resilience score decrease by more than 0.3 between these same dates (according to the Organised Crime Index)?"
1,single-hop,tricky-phrasing,Specific MMORPG buff categories; identify game first,"There is a MMORPG game that was rumoured to have hit 50k online players after being up for only four hours when its vintage version was rereleased. There was a seasonal release for a doomsday game mode scenario, the goal in this mode being to become the last man standing. In this game mode powerful buffs can be obtained through killing monsters or through other players, these are split into three categories, what are those categories?"
2,multi-hop,specialized,Drummer identity → band → TikTok songs chain,"Name the two songs that went viral on TikTok by the artist who (from 2016 to 2021) played drums in a band that won ""Best Holy Local Band"" in the Phoenix New Times Best of Phoenix 2006."
15,multi-hop,specialized,EU + non-monarchy + immigration + voting + Eurostat poverty filters,"List all of the countries that meet all of the following conditions: Is an EU member state as of 2024; Doesn’t have a monarchy; Had over 100,000 people immigrate in 2022; As of 2024, the voting age is 18 or above for European Elections; According to Eurostat, over 20.0% of the population was at risk of poverty or social exclusion in 2022."
36,multi-hop,specialized,Michigan bill context; Julie Rogers co-sponsor; first 50 of 2023,"I'm trying to remember the primary sponsor of a certain bill that I recall being co-sponsored by my Michigan state representative, Julie Rogers, sometime in 2023. This bill was either a labor or education bill. I remember that the bill specifically pertained to union dues, which is how I heard about it (from work). This bill was definitely one of the first 50 bills introduced in 2023. Can you tell me who the primary sponsor of that bill would be?"
50,multi-hop,specialized,Pulitzer historians 1990-95; Ivy or QS top-25 history,Narrow the Pulitzer Prize winners for History from the years 1990 to 1995 down to those who have either worked as a professor at an Ivy League institution or as a professor at one of the top 25 schools for history programs according to the QS World University Rankings in 2023.
51,single-hop,specialized,Statistics Canada top-5 boys names 2019-2022,"Using Statistics Canada, list all names for boys that stayed within the top 5 baby names for boys between the years 2019 and 2022."
54,multi-hop,tricky-phrasing,Specific site; top 10; growth rates 2020/2022/2023,"According to BiggestUSCities.com's ""Top 100 Biggest US Cities"" lists, which city or cities in the top 10 had a positive growth rate in 2020, 2022, and 2023?"
56,multi-hop,specialized,Maricopa 4-day schedule; enrollment + credentials filters,"Of the school districts in Maricopa County that had a 4-day a week schedule for the 2023-2024 school year (according to the Maricopa County School Superintendent), which ones had a minimum of 1200 students for the same school year, an inexperienced core teachers, principals, and school leaders percentage for their Title I schools of 25% or less, and teachers with emergency credentials of 5% or under for their Title I schools, according to AZ School Report Cards for 2024? Include only the final answer."
57,single-hop,common,Last GOP NY governor; ballot party names when elected,The last time a Republican won the New York gubernatorial vote what were the names of the parties they run under on the ballot when they were first elected as Governor of New York?
59,multi-hop,specialized,data.nysed.gov graduation data; <2000 enrollment filter,"Based on information located on data.nysed.gov, consider ny state graduation rate data for high school students as of August 2023. Consider subgroups that had a total enrollment under 2000 students. Which of these subgroups also had a dropout percentage of 3 percent or more and a graduation rate over 40 percent? List the subgroups in order of least amount total enrolled students to highest."
61,multi-hop,specialized,QS 2021 top-20 global; US top-10; Arts top-10 overlap,Which universities in the top 20 of the QS World University Rankings for 2021 were also in the top 10 US University Rankings and the top 10 (world) Arts and Humanities Rankings? Please only use information from the QS 2021 rankings and list the schools in alphabetical order.
63,multi-hop,specialized,Group X nine members; Blue Plaques; earliest year,"What was the first year in which any of the nine artists that formed ""Group X"" that exhibited at the Mansard Gallery received a Blue Plaque in London? For this exercise, consider the nine members to be Lewis, Dismorr, Etchells, Hamilton, Roberts, Wadsworth, Dobson, Ginner and Kauffer."
70,single-hop,specialized,SF fire database; >1000 suppression units post-2010,Please provide me with a list of fires from the San Francisco database of fires up to May 2024 that involved more than 1000 suppression units and had the date of the incident after 2010. Please give the incident number of these fires.
71,single-hop,common,CDC heart/cancer/diabetes thresholds 2022,"According to the CDC, which US states had a death rate due to heart disease >191.5, a death rate due to cancer >161.9, and a death rate due to diabetes >33.1 in 2022?"
72,single-hop,tricky-phrasing,Extreme Weather Watch specific; Jackson MS August 2023,"In August 2023, which days did Jackson, Mississippi see a high temperature of at least 100 degrees Fahrenheit, which days did it see a low temperature of at least 80 degrees Fahrenheit, and which days did it see both a high temperature below 100 and a low temperature below 80? Use data from the Extreme Weather Watch website."
75,single-hop,common,NHTSA <100 fatal crashes 2016-2019,"Which US states (do not include Washington DC) had fewer than 100 total fatal car crashes in any year between 2016 and 2019, using NHTSA data?"
76,single-hop,specialized,Sheffield May 5 2022 election; largest vote margin,"In the Sheffield city council ward elections on May 5, 2022, which of Fathima Nabeela Mowlana, Martin John Phipps, Zahira Naz, Martin Richard Smith, and Abtisam Mohamed Mohamed won by the biggest margin in terms of number of votes between them and the candidate in second place, according to https://www.sheffield.gov.uk/your-city-council/city-council-parish-council-election-results?"
92,multi-hop,specialized,nysenate.gov Brouk chair; common committee members all reports,"For each mental health committee annual report up to and including 2023 on nysenate.gov, of which senator Samra G. Brouk was the chairperson, which committee members appear on every one of those reports?"
107,multi-hop,specialized,GSA Ida Abelman non-lithographic; westernmost museum youngest,"Of the Ida Abelman color artworks included in the U.S. GSA Fine Arts Collection, note those that were not produced via lithographic print. According to the U.S. GSA, which is the westernmost museum in which the youngest of these works is held?"
108,multi-hop,specialized,2022-23 Conference League semifinal; 2.3M euro player birthplace,"In the 2022-2023 season, for the player bought for 2.3 million euros for the team in the semi final of the European Conference League with the most number of points in their respective domestic league, which city were they born in?"
110,single-hop,specialized,Batman games; Condiment King non-playable; exclude Troy Baker,"List every Batman game before 2024 that includes The Condiment King, but does not include him as a playable character and the game cannot have a Batman voiced by Troy Baker."
125,multi-hop,specialized,State park hawk tower; three parakeet/parrot types; coach chain,Name the three types of parakeets or parrots that can be seen in a state park with a hawk observation tower that's located in a city that was once the home of a head coach of a team that drafted a quarterback first round in 1989.
132,single-hop,common,NBA 2021-22 & 2022-23; ≥80 starts both; <17 PPG; >5 RPG,"Which NBA players started at least 80 games in both the 2021–22 and 2022–23 regular seasons, averaged fewer than 17 points per game in each season, and averaged more than 5 rebounds per game in each season?"
136,multi-hop,specialized,Moon + Mars features; pre-20C literary names approved 1973,"Between Earth's moon and Mars' moons, name all features that share a namesake with pre-20th century literary figures (names inspired by them), specifically, those who were known to primarily write fiction or poetry, and whose names were approved in 1973. Use https://planetarynames.wr.usgs.gov/ to source your info."
143,multi-hop,specialized,G7 pension insurance contracts 2019-21; largest increase,"Of the G7 countries, which country saw the largest positive change in the pension insurance contracts portion of asset-backed pensions from 2019 to 2021. Make sure to exclude any countries that do not use pension insurance contracts, or had incomplete data on their % makeup for those 3 years. (Use the OECD data)."
144,single-hop,specialized,Pepys diaries December; naval figure every month except 1668,"In the diaries of Samuel Pepys, which naval figure is mentioned in every December except for December 1668?"
149,multi-hop,common,2020 Census + 2023 ACS; South region; age/population/no-car,"According to the 2020 U.S. Census and the Pew Research Center (2023 American Community Survey), which states in the South Region have an age group of 25-34 years old totaling less than 12.5%, a total population over 5 million, and a percentage of households with no car at 6%?"
151,single-hop,specialized,IUCN Spain Extinct before 2022; most recently seen,"Of all the species (not including subspecies, varieties or subpopulations) in Spain assessed as ""Extinct"" before 2022 according to the IUCN Red List, which one was last seen most recently? Use only the IUCN Red List data for consistency. Answer with the scientific name as given in the Red List entry."
156,single-hop,specialized,US News 2025 top 10 jobs; Future Prospects >9; highest salary,"According to the U.S. News & World Report's 2025's 100 Best Jobs in America, of the jobs in the top 10 of the list who have a Future Prospects score of over 9, which profession has the highest median salary?"
162,multi-hop,specialized,NCES master's >7% & Bachelor's >33%; NJ income +5% YoY,"From 2010 to 2015, in what years was the US national educational attainment for a master's degree or higher above 7% for individuals 25-29 years old and above 33% for a Bachelor's degree or higher (National Center for Education Statistics) and did reported gross income increase by more than 5% year-over-year from the previous year in NJ, according to NJ treasury annual statistics of income reports?"
169,multi-hop,specialized,Spanish-speaking; Pacific + another ocean; Digital Nomad Visa; same-sex marriage; Herbalife,"Please give me the list of all countries that fit all of the following criteria:  1. Spanish is the main language spoken, 2. They have a coastline on the Pacific Ocean, 3. They have a coastline on at least one other major body of water (in addition to the Pacific Ocean), 4. They offer an explicit Digital Nomad Visa (not just something that would work for Digital Nomads, but one specifically for us), and 5. They will recognize my same-sex marriage to my spouse, and 6. We will be able to purchase our Herbalife nutritional shakes and aloe from a local seller when we're there. All as of June 2024."
173,multi-hop,specialized,CIA Factbook major cities; May-June 2022 Medical Lab Journal authors,Provide a list of major urban areas listed in the CIA World Factbook entry for the country that contains the university that is affiliated with all of the authors of the first article of the May-June 2022 issue of Medical Laboratory Journal.
182,multi-hop,specialized,Them There collective; second-oldest member; 91st Oscar Best Actress,List all the films that feature both the second-oldest member of the Them There collective and the winner of the 91st Academy Award for Best Actress.
186,single-hop,common,Johns Hopkins gun violence 2013-22; percentage increase highest,"According to John Hopkins Center for Gun Violence Solutions, which state, out of Illinois, Hawaii, California, Texas, Mississippi, and Wisconsin, had the highest percentage increase in overall gun death rate from 2013 to 2022?"
190,multi-hop,specialized,Black Sea nations; CIA per-capita vs EIA production ranking; WNA nuclear ≤20%,"Which of the countries that border the Black Sea have a lower ranking on the CIA World Factbook (as of 2023) for their energy consumption per capita than their ranking on the U.S. Energy Information Administration's list for total energy production in 2023, while simultaneously having a nuclear share of electricity production in 2021 that is noted as being 20 percent or less according to the World Nuclear Association (WNA)? If the WNA does not have nuclear share data on a given country, they should be excluded."
193,multi-hop,fresh,2023 romance top-10 Canada print; NYT >20 weeks consecutive,"List all of the romance books released in 2023, that were in the top 10 most sold fiction books in Canada by print sales volume, and who appeared on the New York Times ""Combined Print & E-Book Fiction"" list for more than 20 consecutive weeks in the same year."
198,single-hop,specialized,Union Pacific 10-K 2023; non-premium commodity highest revenue %,"According to Union Pacific's 2023 10-K, excluding the premium category, which commodity type accounted for the greatest percentage of its revenue in 2023?"
203,single-hop,common,Tasmania LGAs >20k population; name match US cities,"Which Tasmanian LGAs with a population over 20,000 (as of June 2023) share a name with a city (or cities) in the United States?"
205,single-hop,specialized,Squamate phylogeny paper; gecko sister family northernmost genus,"According to the paper ""Combining phylogenomic and supermatrix approaches, and a time-calibrated phylogeny for squamate reptiles (lizards and snakes) based on 52 genes and 4162 species"", geckos have several families, could you list the northernmost genus of the sister family to the family with the least total species diversity."
208,multi-hop,specialized,Brooklyn Museum O'Keeffe Living Modern; high school to Texas move dates,"I'm doing a study on the popularity of Georgia O' Keeffe's early work. The Brooklyn Museum's Georgia O’Keeffe: Living Modern exhibition displayed some of these pieces; could you find the titles of her paintings as recorded in the museum's online collection for this exhibit? Look for paintings with completion dates that fall from the year she graduated high school, to the year she moved to Canyon, Texas, inclusive."
213,single-hop,specialized,USDA fruit cup equivalent prices; highest in both recent/prior data,"As of 2023, according to the USDA's most recent versus second most recent data, what was the fruit with the highest average cup equivalent prices in both instances?"
219,multi-hop,specialized,European World Expo cities; non-capitals; Iberian Peninsula recent year,Consider all European cities that have ever hosted a World Expo (up to and including 2020) according to the Bureau International des Expositions (not Specialized Expos) but are not the capital of their respective country. List the year of the most recent World Expo hosted by each of those cities that are on the Iberian Peninsula.
222,multi-hop,specialized,Statistics Canada airports >500k 2020; Transport Canada relief eligible 2021,"Referencing Statistics Canada (table 23-10-0253-01), which Canadian airports reported over 500,000 passengers in 2020 were also eligible for airport relief funding or the Airport Critical Infrastructure Program in 2021, as verified by Transport Canada?"
223,multi-hop,specialized,PEN America Virginia bans; male authors; 20th century; by birth year,"Of the banned books by male authors in the state of Virginia according to PEN America's Index of School Book Bans - 2022-2023, which were published in the 20th century? Please list the books with their authors and order your answer by author birth year from furthest back to most recent."
232,multi-hop,common,Female heads of state June 2024; island; British independence chronological,"Among all countries led by a female head of state as of June 2024, identify those which are island nations that gained their independence from Great Britain and list them in the chronological order in which they did."
237,multi-hop,specialized,OECD emissions 2012-14 increase; smallest non-dairy cattle methane,"Of the European countries which saw their greenhouse gas emissions (excluding LULUCF) increase between 2012 to 2014, which saw the smallest increase in non-dairy cattle CH4 emissions?"
238,single-hop,common,AKC American breed 5-rating all four child/dog/bark/stimulation traits,"Using the American Kennel Club's 1-5 rating scale for Breed Traits and Characteristics, which dog breed with, ""American,"" in its name has a rating of 5 for being ""Good with Young Children,"" ""Good with other Dogs,"" their ""Barking Level,"" and their ""Mental Stimulation Needs""?"
241,single-hop,specialized,ICILS 2023 table 2.2; most CIL+CT available not compulsory ISCED 1,"According to table 2.2 in the ICILS 2023 international report, which countries had the most categories for both CIL and CT education which were ""Available but not compulsory to teach"" for ISCED 1 level education?"
247,multi-hop,specialized,Iowa counties 1930-40 farm rise; 1942 secretary agriculture majority votes,"Of all the Iowa counties who saw a rise in number of farms from 1930-1935 and again in 1935-1940, which 1942 secretary of agriculture candidates got the majority of votes for each county?"
267,multi-hop,specialized,Ivor Novello 2022; Chelsea Clinton sitcom end-credits singers; musical origin,"The singer that won the lvor Novello Lifetime Achievement award in the same year that the singers of the end credits song for the sitcom that former first child Chelsea Clinton appeared in in 2022 were nominated but did not win, had 3 songs that made it into the UK top 40 official singles. One of these songs was a collaboration with a singer who's song was covered on the sitcom, but which musical was the song originally written for?"
271,multi-hop,specialized,Concepcion v. US sentencing law; last 3 co-sponsors; Mississippi grad,"In Concepcion v. United States, the Supreme Court issued a decision on whether a district court could consider intervening legal and factual developments when deciding whether to impose a reduced sentence on an individual under a particular Congressional act. Of the last three senators to co-sponsor the bill that became the law in question, who graduated from University of Mississippi?"
309,single-hop,specialized,Statistics Canada table 42-10-0037-01; >50% affordable childcare; east Ontario,"For the provinces east of Ontario (but not including Ontario itself), which of those had over 50% for children with affordable child care in 2022? Use table 42-10-0037-01 provided by Statistics Canada, ensuring that the population analyzed are among those using before or after school care and who had difficulties finding care."
318,single-hop,common,BLS gasoline per gallon >4.00 non-seasonally 2020-23,"In what months did the consumer price index (not seasonally adjusted) for Gasoline, all types, per gallon in the average US city exceed 4.000 between 2020 and 2023? Use the data provided by the US Bureau of Labor Statistics."
345,multi-hop,specialized,NZ AES income/expenditure ≥5% increase; >$2T assets years,"Based on the Annual Enterprise Survey (Provisional) results of New Zealand businesses, in which years between 2018 and 2022 did the following metrics increase at least 5% from the previous year; Total Income for all AES Industries, and Total Expenditure for all AES industries. Of those years, which ones had total business asset value of more than $2 trillion NZD."
347,multi-hop,specialized,Tropical cyclones Myrtle Beach 1953-2023; ≥15 max rainfall contiguous US,"Out of all of the tropical cyclones whose storm track passed within 15 nautical miles of Myrtle Beach, SC between 1953 and 2023, which ones produced a maximum rainfall of at least 15 inches somewhere in the contiguous United States? The location of maximum rainfall does not need to be within 15 nautical miles of Myrtle Beach, SC, only the storm track does."
349,single-hop,specialized,Missouri Board Pharmacy 2023 newsletter; drug storage temperature rule #,"According to one of the three newsletters published in 2023 by the Missouri Board of Pharmacy on their website, what is the specific number of the Missouri State Board of Pharmacy general rule that states that “temperatures in drug storage areas must be recorded and reviewed at least once every day the pharmacy is in operation…”"
351,single-hop,common,IMF gross national savings % GDP 2017-19; highest absolute change,"According to the IMF, which of the following countries saw the highest absolute change in gross national savings, as a percentage of GDP, between the years of 2017 and 2019? Germany, France, Spain, Belgium, Netherlands, Italy, Switzerland, Portugal, Poland. Answer with the country names only."
406,single-hop,common,Top 5 car crash death states 2023; seatbelt use <90%,"Of the top 5 states that have the most deaths by car crash in 2023, which had a seat belt use of less than 90% in 2023?"
474,single-hop,common,Electoral votes above-average; GOP 2016 → DEM 2020,"Which U.S. Electoral College jurisdictions (i.e., all U.S. states plus D.C.) with an above-average number of electoral votes, voted for the Republican presidential candidate in the 2016 election but then for the Democratic presidential candidate in the 2020 election?"
517,single-hop,common,Hawaii county motor vehicle theft per 100k 2014-2020 drop,"Which Hawaii county experienced the biggest drop  in motor vehicle theft per 100,000 residents from 2014 to 2020?"
557,single-hop,specialized,Oakville federal elections since 2000; runner-up votes; biggest 1st-3rd gap,Comparing the Canadian federal elections since 2000 for the riding of Oakville. How many votes did the runner up get in the election that had the biggest vote share difference between 1st and 3rd place?
568,single-hop,specialized,Lomography Kino B&W 35mm; Ilfosol 3 1+9; shortest dev time,"I'm developing a large scale analogue photography project. I want to use films from the Lomography Kino B&W family in 35mm. My lab only has Ilfosol 3 in a 1+9 dilution for the developer. I'll be processing the film at the official box speed and will not be rating the film at a different ISO other than the official one. I'm looking to find out which film takes the least amount of time to develop according to the massive dev chart (using the official box speed only). Since this is such a large scale project, the development time really matters to me so I need to find the film with the lowest development time."
572,single-hop,specialized,Santa Clara 2012 status report; >30% produce <65% vegetables,"According to the Status of Latino/Hispanic Health: Santa Clary County 2012 report, which retail store types had over 30% with ""at least one produce item priced under the county average,"" while also having under 65% with a ""wide variety of vegetables available""?"
573,single-hop,specialized,UTA 2022 report; rail >bus AND total <46M passengers 2013-22,"Between 2013 and 2022, which years did the Utah Transit Authority report more passengers on the Rail service than the Bus service, but less than 46,000,000 total passengers for all UTA services, according to the 2022 Annual Comprehensive Financial Report?"
595,single-hop,specialized,US Census S2101 veteran status; Baltimore District 3 greatest civilian 18+,"According to Official US Census Bureau ""Veteran Status"" S2101 ACS 5-year estimate tables, in which year from 2010 to 2019 (inclusive) was the estimated civilian population (aged 18 years or older) the greatest for District 3, Baltimore County, Maryland?"
600,multi-hop,specialized,EU top-10 UK visitors 2021-23; GDP >40k 2023; 1958 members,"Out of the EU countries (as of 2024) that were in the ""top 10 of overseas residents' visit to the UK"" for each year during 2021-2023, according to the Office for National Statistics, and had a GDP per capita of more than $40,000 in 2023, according to the World Bank, which became member states of the EU in 1958?"
622,single-hop,specialized,NASDAQ top-5 market cap 2023; net income & EPS up vs 2022,"At the end of 2023, out of the top 5 common stocks listed on the NASDAQ by market cap, which of these had an increase in net income when compared to 2022, and an increase in the EPS ratio? Provide their symbols only."
623,single-hop,specialized,Williams-Sonoma/La-Z-Boy/Ethan Allen 2023 10K; highest intl assets %,"For the fiscal year ended in 2023, among Williams-Sonoma, La-Z-Boy, and Ethan Allen Interiors, which company had the highest percentage of long-lived assets in international markets outside the USA, according to each company's annual 10K filings on the U.S. Securities and Exchange Commission (SEC) website?"
642,multi-hop,specialized,SCOTUS argued pre-Gorsuch; decided with him; 5-3 case dissent authors,"I'm looking for Court cases argued during the 30 days before Gorsuch joined SCOTUS, but which were decided while he was there (but couldn't vote). I believe one of those cases was fairly close (5-3). Can you tell me the name of this case, but also who wrote the dissent(s). For the dissents, just list the last name, in alpha order if there are multiples."
644,single-hop,common,UK ONS unemployment ≥5% & CPIH ≥2.5% 2010-20,"I'm trying to find out what the correlation between unemployment and inflation is in the uk. Using data from the office for national statistics, please list any years between 2010 and 2020 that had an annual unemployment rate of 5% or more, and a CPIH annual rate of 2.5% or more."
646,single-hop,common,FWS 2023 threatened/endangered non-plant; west Mississippi; shortest wingspan,"Of the creatures, not plants, that became listed as threatened or endangered species in 2023 with the U.S. Fish and Wildlife Service, with the specification ""wherever found"", and they are believed to be only in states west of the Mississippi River in the USA, not including Arkansas, which of them has the shortest wingspan?"
652,multi-hop,common,CDC top-15 COVID deaths all 2020/21/22; never top-15 heart disease,"Using the CDC data on mortality by State (https://www.cdc.gov/nchs/pressroom/stats_of_the_states.htm), of the States that were in the top 15 COVID death rates for all three of the years 2020, 2021, and 2022, which ones were never in the top 15 of heart disease mortality rates across those same years?"
657,multi-hop,common,Foreign-born HS 16+ employed >15h > US-born; lowest HS completion rate 25+,"Of the years between 2000 and 2019 (inclusive) during which the percentage of foreign-born high school students age 16+ who were employed & working 15+ hours per week exceeded the percentage of US-born students within the same category, which of those years had the lowest rate of high school completion for all people age 25+?"
660,single-hop,specialized,Amphastar/Corcept/Jazz SEC 2023; largest operating margin,"Using the SEC website, among Amphastar Pharmaceuticals, Corcept Therapeutics, and Jazz Pharmaceuticals, which company had the largest operating margin for the fiscal year ended December 31, 2023?"
666,single-hop,specialized,Texas legislator HB 852 & HB 100; 58th & 59th sessions,Which Texas legislator authored HB 852 and HB 100 in the 58th and 59th sessions?
667,single-hop,fresh,Goodreads Choice Awards fiction 2020-23; smallest winner-runner-up gap,What year between 2020 and 2023 inclusive had the smallest difference between the winner and the runner-up in the fiction category for the Goodreads Choice Awards?
668,single-hop,common,CDC Ohio top-5 drug overdose AND suicide deaths 2020/21/22,"According to the CDC's Drug Overdose Mortality by State and Suicide rates by state, in what years was Ohio in the top 5 (according to the number of deaths) for BOTH of the lists from 2020, 2021, and 2022 reporting?"
669,multi-hop,common,1977 Trinity computer company; designer; display patent floppy disk year,"Take the company from the '1977 Trinity' of personal computers who is still in business under the same name. Then, for that company's computer, find its lead designer. List the number for the patent they invented that related to a computer's display that was filed in the same year the 'Trinity' computer was upgraded with a floppy disk drive."
674,single-hop,common,KBB compact SUVs 2023; cargo ≥70 cu ft; fuel ≥28 combined,"Of the cars from Kelley's Blue Book list of Best Compact SUVs of 2023, which can offer a cargo volume of at least 70 cubic feet and a combined fuel economy at least 28? Only use data from Kelley's blue book. If a range is provided for either cargo volume or fuel economy, use the high end of the range. Give me a bulleted list with no other text."
694,multi-hop,common,Census 2022 poverty top-3 states; USDA food insecurity drop 2011-20,"From the report titled, ""Poverty in States and Metropolitan
Areas: 2022"" by the Census Bureau, identify the three states with the largest raw number of people living below the poverty line as of 2022. According to usda.gov, which of the previously identified three states had the highest drop in their food insecurity rate between their 2011-13 and 2018-20 averages? Provide just the name of the state in your answer."
696,multi-hop,specialized,WHO air quality 2023; EPI 2022 sanitation/water both rank 1,"Which, if any, of the countries that met WHO air quality standards in the IQ Air Quality Reports 2023 also had 2022 EPI sanitation / drinking water and water resources ranks of 1?"
707,multi-hop,common,Best Picture 2000-20; <$100M worldwide; English; no acting nominees,"As of December 31, 2023, list all feature-length films that were released in the United States between January 1, 2000, and December 31, 2020, that won the Oscar for Best Picture, had a worldwide gross revenue less than $100 million, according to Box Office Mojo's reported worldwide lifetime grosses, were produced primarily in the English language according to IMDb, and do not have any acting nominees at the same Oscar ceremony where they won Best Picture."
